                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.334,                 1.9331,                 1.4095,                0.84655,                0.79946,                0.88753,                0.57103,                 1.3179,                 1.1218,                 1.3123,             0.00054332,             0.00054332,             0.00054332
                      2,                 1.3179,                 1.3931,                 1.3827,                0.65054,                0.78779,                0.75012,                0.45198,                 1.4391,                 1.2597,                 1.3728,              0.0010881,              0.0010881,              0.0010881
                      3,                 1.2945,                 1.3266,                 1.3912,                0.46977,                0.80013,                0.53057,                0.28107,                  1.562,                 1.6595,                  1.685,              0.0016219,              0.0016219,              0.0016219
                      4,                 1.3054,                 1.2523,                 1.4108,                0.34756,                0.73803,                0.35672,                0.19432,                 1.5839,                  2.412,                 1.5406,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.3033,                 1.2544,                 1.4037,                0.45975,                0.80109,                0.72542,                0.39951,                 1.4214,                 1.4683,                  1.501,              0.0016175,              0.0016175,              0.0016175
                      6,                 1.3157,                 1.2074,                 1.3936,                0.78842,                0.70893,                0.83689,                0.50242,                 1.3278,                 1.1228,                 1.3447,               0.001601,               0.001601,               0.001601
                      7,                 1.2971,                 1.1779,                 1.3914,                0.78648,                0.89202,                0.93674,                0.59138,                 1.3216,                 1.0347,                 1.3326,              0.0015845,              0.0015845,              0.0015845
                      8,                 1.2669,                 1.1419,                 1.3677,                0.66354,                0.84195,                0.74214,                0.43316,                 1.3349,                 1.3296,                 1.3117,               0.001568,               0.001568,               0.001568
                      9,                 1.2349,                 1.1056,                 1.3399,                0.78106,                0.81531,                0.88789,                0.54085,                 1.2393,                 1.1928,                 1.3338,              0.0015515,              0.0015515,              0.0015515
                     10,                 1.2125,                 1.0973,                 1.3467,                0.87634,                0.88167,                0.93054,                0.58498,                 1.2764,                0.95141,                 1.3601,               0.001535,               0.001535,               0.001535
                     11,                 1.2326,                 1.0581,                 1.3537,                0.78083,                0.90738,                0.86199,                0.54883,                 1.1861,                 1.0336,                 1.2828,              0.0015185,              0.0015185,              0.0015185
                     12,                  1.198,                 1.0408,                 1.3253,                0.72812,                0.80802,                0.85012,                0.55273,                 1.2892,                0.98541,                 1.2979,               0.001502,               0.001502,               0.001502
                     13,                 1.2024,                 1.0476,                 1.3285,                0.79208,                0.87211,                0.91187,                0.59161,                 1.1822,                0.86278,                 1.2852,              0.0014855,              0.0014855,              0.0014855
                     14,                 1.1793,                 1.0007,                 1.3096,                0.84597,                0.90192,                0.95191,                0.59533,                 1.1384,                0.88274,                 1.2636,               0.001469,               0.001469,               0.001469
                     15,                 1.1445,                0.95233,                 1.2853,                0.94513,                0.91035,                0.93985,                0.63373,                  1.141,                0.88126,                 1.2718,              0.0014525,              0.0014525,              0.0014525
                     16,                 1.0892,                0.91885,                 1.2798,                0.97265,                0.89045,                0.97381,                0.64851,                 1.1901,                0.76952,                 1.2648,               0.001436,               0.001436,               0.001436
                     17,                 1.1071,                0.90961,                 1.2628,                0.90186,                0.95744,                0.95886,                0.63475,                 1.1498,                0.76523,                 1.2491,              0.0014195,              0.0014195,              0.0014195
                     18,                  1.069,                0.88805,                 1.2471,                0.87837,                0.89417,                0.94957,                0.60658,                 1.1783,                0.77476,                 1.2785,              0.0014029,              0.0014029,              0.0014029
                     19,                 1.1137,                0.90318,                 1.2866,                0.86927,                0.91596,                0.94339,                0.65405,                 1.1924,                 0.8215,                 1.2492,              0.0013864,              0.0013864,              0.0013864
                     20,                 1.0594,                0.84808,                 1.2456,                0.83039,                0.86978,                0.93243,                0.60201,                 1.1748,                0.82997,                 1.2699,              0.0013699,              0.0013699,              0.0013699
                     21,                 1.1195,                0.86441,                 1.2866,                0.87556,                0.94266,                0.95431,                 0.6587,                 1.1199,                0.76982,                 1.2297,              0.0013534,              0.0013534,              0.0013534
                     22,                 1.0699,                0.88383,                 1.2709,                0.88564,                 0.9289,                0.97418,                0.65428,                 1.1522,                0.74164,                 1.2308,              0.0013369,              0.0013369,              0.0013369
                     23,                 1.0495,                0.85103,                  1.251,                0.84601,                0.90817,                  0.963,                0.66613,                 1.1671,                0.77652,                 1.2831,              0.0013204,              0.0013204,              0.0013204
                     24,                 1.0367,                0.83289,                 1.2341,                0.90268,                0.92599,                0.96199,                0.65938,                 1.1086,                0.72672,                 1.2496,              0.0013039,              0.0013039,              0.0013039
                     25,                 1.0474,                0.83527,                 1.2369,                0.95427,                0.89275,                0.94435,                0.62656,                 1.2178,                0.79121,                 1.2585,              0.0012874,              0.0012874,              0.0012874
                     26,                 1.0286,                0.78605,                 1.2201,                 0.9103,                0.92089,                0.95477,                  0.648,                 1.1153,                0.73039,                 1.2551,              0.0012709,              0.0012709,              0.0012709
                     27,                 1.0264,                0.77186,                 1.2077,                0.90076,                0.94909,                0.97016,                0.65228,                 1.1565,                0.69222,                 1.2669,              0.0012544,              0.0012544,              0.0012544
                     28,                 1.0505,                0.78758,                 1.2427,                0.84962,                0.91284,                0.95802,                0.62261,                 1.2448,                0.80397,                 1.2647,              0.0012379,              0.0012379,              0.0012379
                     29,                0.99106,                 0.7658,                 1.1961,                0.89838,                0.93578,                0.94462,                0.65828,                 1.1213,                0.72152,                 1.2057,              0.0012214,              0.0012214,              0.0012214
                     30,                0.99651,                0.76203,                  1.208,                0.91022,                0.95772,                0.95427,                0.65759,                 1.2493,                0.70659,                 1.3645,              0.0012049,              0.0012049,              0.0012049
                     31,                  1.019,                0.76149,                 1.2273,                 0.8612,                0.91388,                0.93423,                0.65121,                 1.1057,                0.74381,                 1.2301,              0.0011884,              0.0011884,              0.0011884
                     32,                0.94866,                0.75754,                 1.1821,                0.90809,                0.95825,                0.97946,                0.70407,                 1.0574,                 0.6884,                 1.2096,              0.0011719,              0.0011719,              0.0011719
                     33,                0.97696,                0.73091,                 1.1939,                0.90753,                 0.9661,                0.97515,                0.67198,                 1.0925,                0.68464,                  1.218,              0.0011554,              0.0011554,              0.0011554
                     34,                0.96894,                0.72439,                 1.1971,                0.91755,                0.94158,                0.97265,                0.69243,                 1.1079,                0.72298,                 1.2632,              0.0011389,              0.0011389,              0.0011389
                     35,                0.97088,                0.74101,                 1.1988,                0.89953,                0.94037,                0.97412,                0.69332,                 1.0693,                0.73969,                 1.2496,              0.0011224,              0.0011224,              0.0011224
                     36,                0.97118,                0.71762,                 1.1956,                0.92544,                0.95558,                0.97623,                0.70164,                 1.1034,                0.64881,                 1.2359,              0.0011059,              0.0011059,              0.0011059
                     37,                0.93581,                0.68993,                  1.173,                 0.9528,                 0.9553,                0.94904,                0.67579,                 1.0954,                0.68072,                 1.2551,              0.0010894,              0.0010894,              0.0010894
                     38,                0.97172,                0.72378,                 1.2065,                0.90775,                0.95642,                0.96539,                0.70239,                 1.0818,                0.68285,                  1.208,              0.0010729,              0.0010729,              0.0010729
                     39,                0.93526,                0.68106,                 1.1809,                0.93802,                0.97018,                0.97714,                0.68449,                 1.0661,                0.63699,                 1.1961,              0.0010564,              0.0010564,              0.0010564
                     40,                0.92586,                0.66135,                 1.1705,                0.89485,                0.96982,                0.97987,                0.70281,                  1.026,                0.66909,                  1.193,              0.0010399,              0.0010399,              0.0010399
                     41,                0.97162,                0.70041,                 1.1995,                0.93082,                0.95413,                 0.9594,                 0.6697,                 1.0566,                0.64948,                 1.2261,              0.0010234,              0.0010234,              0.0010234
                     42,                0.91095,                0.65367,                 1.1514,                0.91927,                0.93964,                0.96875,                0.69864,                 1.0694,                0.61908,                 1.2346,              0.0010069,              0.0010069,              0.0010069
                     43,                0.99471,                0.67498,                  1.199,                 0.9382,                0.94065,                0.97615,                0.70713,                 1.0525,                0.63986,                 1.1881,             0.00099036,             0.00099036,             0.00099036
                     44,                0.91956,                0.66815,                 1.1649,                0.92195,                0.95802,                0.96984,                0.69795,                 1.0977,                0.62575,                 1.2219,             0.00097386,             0.00097386,             0.00097386
                     45,                0.89548,                0.63529,                 1.1463,                0.91377,                0.96101,                0.97241,                0.70986,                 1.0392,                0.60451,                 1.1892,             0.00095736,             0.00095736,             0.00095736
                     46,                0.91623,                0.65372,                 1.1549,                 0.9203,                0.93401,                0.96443,                0.72103,                 1.0457,                 0.6273,                 1.1912,             0.00094085,             0.00094085,             0.00094085
                     47,                0.91354,                0.63875,                 1.1603,                0.89611,                0.94943,                0.96772,                0.71521,                  1.038,                0.62639,                 1.2398,             0.00092435,             0.00092435,             0.00092435
                     48,                0.89572,                0.62494,                 1.1455,                 0.8919,                0.94725,                0.96804,                0.69507,                 1.0677,                0.62336,                 1.2525,             0.00090785,             0.00090785,             0.00090785
                     49,                0.87676,                0.61212,                 1.1318,                0.92055,                0.95872,                0.97576,                0.70554,                 1.0681,                0.60247,                 1.1963,             0.00089134,             0.00089134,             0.00089134
                     50,                 0.8495,                 0.6065,                  1.131,                0.88531,                0.95021,                 0.9559,                0.70106,                 1.0424,                0.64186,                 1.2167,             0.00087484,             0.00087484,             0.00087484
                     51,                 0.9143,                0.64782,                  1.161,                0.87796,                0.96101,                0.96896,                0.69837,                 1.0325,                0.63463,                 1.1982,             0.00085834,             0.00085834,             0.00085834
                     52,                0.84994,                0.61821,                 1.1312,                0.94074,                0.96499,                0.98106,                0.73087,                 1.0189,                0.61545,                 1.1906,             0.00084184,             0.00084184,             0.00084184
                     53,                0.88141,                0.61514,                 1.1414,                0.92112,                0.95445,                 0.9794,                0.71478,                 1.0167,                0.63944,                 1.1973,             0.00082533,             0.00082533,             0.00082533
                     54,                0.88236,                0.61529,                 1.1358,                0.91354,                0.95186,                0.97624,                0.71862,                 1.0503,                0.63654,                 1.2052,             0.00080883,             0.00080883,             0.00080883
                     55,                0.86311,                0.61048,                 1.1316,                0.91706,                0.94789,                0.98247,                0.72232,                 1.1683,                0.62284,                  1.232,             0.00079233,             0.00079233,             0.00079233
                     56,                0.85297,                0.59767,                 1.1251,                0.91615,                0.95872,                0.98475,                0.72344,                 1.0501,                0.61457,                 1.1987,             0.00077582,             0.00077582,             0.00077582
                     57,                0.84418,                0.60989,                 1.1235,                0.91953,                0.95978,                0.97756,                0.71605,                 1.0119,                0.58251,                 1.2086,             0.00075932,             0.00075932,             0.00075932
                     58,                0.84086,                0.58624,                 1.1329,                 0.9383,                0.94495,                0.96916,                0.69977,                 1.0487,                0.59744,                 1.2162,             0.00074282,             0.00074282,             0.00074282
                     59,                0.83313,                0.56721,                 1.1203,                0.94112,                0.95045,                0.97783,                0.71817,                 1.0556,                0.59525,                 1.2478,             0.00072631,             0.00072631,             0.00072631
                     60,                0.85109,                0.59077,                 1.1302,                0.94699,                0.95167,                0.97261,                0.71606,                 1.0373,                0.61073,                 1.2121,             0.00070981,             0.00070981,             0.00070981
                     61,                0.82634,                0.58051,                 1.1113,                0.92449,                 0.9727,                0.96002,                0.71501,                 1.0432,                0.59013,                 1.2249,             0.00069331,             0.00069331,             0.00069331
                     62,                0.85223,                0.59302,                 1.1231,                 0.9319,                0.95301,                0.97917,                0.73102,                 1.0125,                0.58628,                 1.2108,              0.0006768,              0.0006768,              0.0006768
                     63,                0.82379,                0.55874,                 1.1084,                0.92485,                0.94128,                0.97546,                0.71778,                 1.0251,                0.59073,                 1.2231,              0.0006603,              0.0006603,              0.0006603
                     64,                 0.8181,                0.57454,                 1.1188,                0.91163,                0.96438,                0.98104,                0.74137,                 1.0135,                0.59862,                  1.193,              0.0006438,              0.0006438,              0.0006438
